method,path,category,handlerFile,handlerFn,pathParams,queryParams,bodyParams,result,usesFS,spawnsProc,talksToOpencode,priority,proposedRpcMethod,notes
"GET","/health","system","server/index.js:941","inline (app.get)",,,,"200 JSON → { status, timestamp, openCodePort, openCodeRunning, openCodeApiPrefix, openCodeApiPrefixDetected, isOpenCodeReady, lastOpenCodeError }","false","false","false","high","system.getHealth","Health probe for Tauri wrapper and external monitors."
"GET","/api/webui/models-metadata","misc","server/index.js:975","inline (app.get)",,,,"200 JSON from models.dev cache, 502/504 with { error } on failure","false","false","false","medium","webui.getModelsMetadata","Fetches remote metadata with 5m cache and 8s timeout."
"GET","/api/config/agents/:name","agents","server/index.js:1037","inline (app.get)","name: Agent name string",,,"200 JSON → { name, sources, isBuiltIn } or 500 { error }","true","false","false","high","config.getAgent","Reads metadata from agent markdown and opencode.json."
"POST","/api/config/agents/:name","agents","server/index.js:1054","inline (app.post)","name: Agent name string",,"config: Agent configuration frontmatter + prompt","200 JSON → { success, requiresReload, message, reloadDelayMs } or 500 { error }","true","true","true","high","config.createAgent","Creates markdown + updates opencode config, then restarts OpenCode."
"PATCH","/api/config/agents/:name","agents","server/index.js:1077","inline (app.patch)","name: Agent name string",,"updates: Partial agent fields; prompt string optional","200 JSON → { success, requiresReload, message, reloadDelayMs } or 500 { error }","true","true","true","high","config.updateAgent","Field-aware merge with markdown/opencode.json plus OpenCode restart."
"DELETE","/api/config/agents/:name","agents","server/index.js:1106","inline (app.delete)","name: Agent name string",,,"200 JSON → { success, requiresReload, message, reloadDelayMs } or 500 { error }","true","true","true","high","config.deleteAgent","Removes agent files/config and restarts OpenCode."
"GET","/api/config/commands/:name","config","server/index.js:1130","inline (app.get)","name: Command name string",,,"200 JSON → { name, sources, isBuiltIn } or 500 { error }","true","false","false","high","config.getCommand","Inspects command markdown/opencode.json presence."
"POST","/api/config/commands/:name","config","server/index.js:1147","inline (app.post)","name: Command name string",,"config: Command configuration frontmatter + template","200 JSON → { success, requiresReload, message, reloadDelayMs } or 500 { error }","true","true","true","high","config.createCommand","Creates command resources then triggers OpenCode restart."
"PATCH","/api/config/commands/:name","config","server/index.js:1173","inline (app.patch)","name: Command name string",,"updates: Partial command fields; template string optional","200 JSON → { success, requiresReload, message, reloadDelayMs } or 500 { error }","true","true","true","high","config.updateCommand","Updates markdown/opencode.json per field and restarts OpenCode."
"DELETE","/api/config/commands/:name","config","server/index.js:1202","inline (app.delete)","name: Command name string",,,"200 JSON → { success, requiresReload, message, reloadDelayMs } or 500 { error }","true","true","true","high","config.deleteCommand","Removes command resources and restarts OpenCode."
"POST","/api/config/reload","system","server/index.js:1224","inline (app.post)",,,,"200 JSON → { success, requiresReload, message, reloadDelayMs } or 500 { error }","false","true","true","high","config.reloadOpenCode","Administrative endpoint to restart OpenCode manually."
"GET","/api/git/identities","config","server/index.js:1260","inline (app.get)",,,,"200 JSON array of stored git identity profiles, 500 { error }","true","false","false","medium","gitIdentities.list","Reads ~/.config/opencode-webui/git-identities.json."
"POST","/api/git/identities","config","server/index.js:1272","inline (app.post)",,,"profile: Git identity profile (id, userName, userEmail, sshKey?, color?, icon?)","200 JSON profile object or 400/500 { error }","true","false","false","medium","gitIdentities.create","Validates unique id and persists profile."
"PUT","/api/git/identities/:id","config","server/index.js:1285","inline (app.put)","id: Profile id",,"updates: Partial profile updates; id immutable","200 JSON profile object or 400 { error }","true","false","false","medium","gitIdentities.update","Updates and re-saves git identity profile."
"DELETE","/api/git/identities/:id","config","server/index.js:1298","inline (app.delete)","id: Profile id",,,"200 JSON → { success: true } or 400 { error }","true","false","false","medium","gitIdentities.delete","Removes profile from git-identities.json."
"GET","/api/git/global-identity","projects","server/index.js:1311","inline (app.get)",,,,"200 JSON → { userName?, userEmail?, sshCommand? }","false","true","false","medium","git.getGlobalIdentity","Uses simple-git to read global config."
"GET","/api/git/check","projects","server/index.js:1323","inline (app.get)",,"directory: Absolute path to inspect",,"200 JSON → { isGitRepository: boolean } or 400 { error }","true","false","false","medium","git.checkRepository","Checks for .git folder presence."
"GET","/api/git/current-identity","projects","server/index.js:1340","inline (app.get)",,"directory: Repository path",,"200 JSON → { userName?, userEmail?, sshCommand? } or 400/500 { error }","false","true","false","medium","git.getCurrentIdentity","Reads local Git config falling back to global."
"POST","/api/git/set-identity","projects","server/index.js:1357","inline (app.post)",,"directory: Repository path","profileId: Existing profile id","200 JSON → { success: true, profile } or 400/404/500 { error }","true","true","false","high","git.setIdentity","Loads profile from storage then runs git config."
"GET","/api/git/status","projects","server/index.js:1384","inline (app.get)",,"directory: Repository path",,"200 JSON → git status summary or 400/500 { error }","false","true","false","high","git.getStatus","Invokes simple-git status for working tree diagnostics."
"POST","/api/git/pull","projects","server/index.js:1401","inline (app.post)",,"directory: Repository path","options: simple-git pull options payload","200 JSON pull result or 400/500 { error }","false","true","false","high","git.pull","Runs git pull via simple-git with optional args."
"POST","/api/git/push","projects","server/index.js:1418","inline (app.post)",,"directory: Repository path","options: simple-git push options payload","200 JSON push result or 400/500 { error }","false","true","false","high","git.push","Executes git push; expects auth to be preconfigured."
"POST","/api/git/fetch","projects","server/index.js:1435","inline (app.post)",,"directory: Repository path","options: simple-git fetch options payload","200 JSON fetch result or 400/500 { error }","false","true","false","medium","git.fetch","Calls git fetch via simple-git."
"POST","/api/git/commit","projects","server/index.js:1452","inline (app.post)",,"directory: Repository path","message: Commit message string (required); addAll: boolean flag to stage all changes","200 JSON commit result or 400/500 { error }","false","true","false","high","git.commit","Stages optionally and creates commit via simple-git."
"GET","/api/git/branches","projects","server/index.js:1474","inline (app.get)",,"directory: Repository path",,"200 JSON branch list or 400/500 { error }","false","true","false","medium","git.listBranches","Returns local/remote branch metadata."
"POST","/api/git/branches","projects","server/index.js:1491","inline (app.post)",,"directory: Repository path","name: New branch name (required); startPoint: Optional starting ref","200 JSON branch creation result or 400/500 { error }","false","true","false","medium","git.createBranch","Creates branch via git branch or checkout."
"POST","/api/git/checkout","projects","server/index.js:1513","inline (app.post)",,"directory: Repository path","branch: Branch name to checkout","200 JSON checkout result or 400/500 { error }","false","true","false","medium","git.checkoutBranch","Runs git checkout via simple-git."
"GET","/api/git/worktrees","projects","server/index.js:1535","inline (app.get)",,"directory: Repository path",,"200 JSON array of worktree entries or 400/500 { error }","false","true","false","medium","git.listWorktrees","Parses git worktree list --porcelain output."
"POST","/api/git/worktrees","projects","server/index.js:1552","inline (app.post)",,"directory: Repository path","path: New worktree path (required); branch: Branch name (required); createBranch: boolean flag to create branch","200 JSON → { success, path, branch } or 400/500 { error }","false","true","false","medium","git.addWorktree","Runs git worktree add with optional branch creation."
"DELETE","/api/git/worktrees","projects","server/index.js:1574","inline (app.delete)",,"directory: Repository path","path: Worktree path to remove; force: Optional boolean","200 JSON → { success: true } or 400/500 { error }","false","true","false","medium","git.removeWorktree","Runs git worktree remove with optional --force."
"GET","/api/git/log","projects","server/index.js:1596","inline (app.get)",,"directory: Repository path; maxCount: Optional integer; from: Optional ref; to: Optional ref; file: Optional file path",,"200 JSON → { all, latest, total } or 400/500 { error }","false","true","false","medium","git.getLog","Uses git log with options via simple-git."
"POST","/api/fs/mkdir","projects","server/index.js:1619","inline (app.post)",,,"path: Directory path to create (required)","200 JSON → { success, path } or 400/500 { error }","true","false","false","medium","fs.mkdir","Normalizes path and blocks traversal attempts."
"ALL","/api/*","opencode","server/index.js:859","proxyMiddleware",,,,"Proxies request to detected OpenCode API prefix; returns upstream response","false","false","true","high","opencode.forward","http-proxy-middleware bridging OpenCode backend with SSE upgrades."
"GET","/^(?!\/api).*$/","misc","server/index.js:1759","inline (app.get)",,,,"Serves dist/index.html or 404 when dist missing","true","false","false","low","static.serveFallback","Client-side routing fallback outside /api."
"ALL","/*","opencode","proxy-server.js:13","proxyMiddleware",,,,"Transparent proxy to OPENCODE_URL","false","false","true","low","opencode.forward (corsProxy)","Simple CORS proxy utility; WebSocket enabled."